Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
Reggie Hall - Keep On (A House of Jazz Mix),USA,1993,0.019178762086314114,0.048734716777938045,5.362917862013068,11.34421540440509,9.664617200415494,0.01740593178957148,0.1696095936120104,8.990910542616882,13.064772993332175,9.271909862628453,0.01424033227522719,0.05092588231194162,6.437369848743897,11.982730490029855,10.099816225876257,0.00734967765585033,0.03974595008506726,7.609502762402529,12.391146900310112,10.12218348047605
Reggie Rough Feat. Annette Taylor - Just Can't Take It (Club Mix),USA,1994,0.024691863031280816,0.08124159978816578,6.801550720037573,12.450257464049658,9.916893884309465,0.020730542249791224,0.12039596733269907,11.239499550281707,15.370862499387018,9.575769340008035,0.014372935284147662,0.08154821065634342,7.011373255984415,12.121432659424245,10.044818209988078,0.009503843349777007,0.12569663013352267,9.20691159141427,13.327155831186339,10.017335306981103
Reggie Rough Feat. Annette Taylor - Just Can't Take It (Dubstramental),USA,1994,0.025701659479728536,0.08315147401098377,5.4211756625601,11.566062799790398,10.168697183935368,0.011800745916715948,0.08289709244742882,8.996691358538977,13.857315632702226,9.616621095685911,0.024074410234512268,0.1367439786020623,7.61084554205181,12.627936064421815,10.508932129489821,0.021797145224280272,0.1498670431135809,8.96672587533055,13.370874695873088,10.796969623784365
Reggie Rough Feat. Annette Taylor - Just Can't Take It (Original Version),USA,1994,0.02272496310181253,0.050224772128375714,3.9510626344344595,10.409587993353421,9.953108160119555,0.008462163421334648,0.010391036440420904,4.616994951666347,10.81470427867854,9.829684759229316,0.02250788844608397,0.05493693343076705,5.060068940939145,10.81550845640551,9.89788139745753,0.0175613940034073,0.15168587615386497,9.19641730487827,14.158765207319322,10.690910777329403
Rhythm Factory - Feelin' Horny,USA,1992,0.023400320284276504,0.0881285710664767,4.822876586006232,11.68916322385511,9.951495778066473,0.027524690787789824,0.0948186926175277,13.163860845399741,17.080052205933356,9.752742763215101,0.014309755514646682,0.08916021011275041,4.609770555076357,10.548147532299678,9.863228023148334,0.010641431509591506,0.19454515213347148,10.138409155603878,14.228884094746512,10.620257028779553
Rhythm Factory - Jam Is Pumpin',USA,1992,0.022004118970491083,0.18332451140037223,6.171480360812391,12.892535872714314,10.081124027919934,0.02168818867289018,0.05590139830503446,12.052666769463567,17.018884942951864,9.771303885433419,0.014143566475426281,0.35471903792955845,9.994531956428245,14.01679956454106,10.73061971682157,0.010450294672587464,0.258171817543194,11.476790718967688,15.150634844679246,10.741773434061082
Rhythm Factory - The Saxy Track,USA,1992,0.0220116465352562,0.2262356224219351,6.234566064586772,12.409873198875056,9.88165561036542,0.023607520908738584,0.19730132552663798,13.931449959618835,18.2740107776539,10.167339512448534,0.014296191056902928,0.271083678168401,7.320119772584961,12.194447457338327,10.110619239778606,0.008644165877260922,0.29423685910540254,8.478737104879244,13.14172146937843,10.345164742091468
Rhythm Method Feat. Camille - Can You Give Me Love (Extended Retro Mix),USA,1994,0.015011200605140907,0.174398064830677,5.344399596322512,11.047997017032685,9.45268485731424,0.009360658792869188,0.2141714035433719,10.090837333693031,14.211300448574013,9.440259448903555,0.012267149346842171,0.22814467113958758,7.665785867414462,12.622310049831578,10.147478088638625,0.006172221339362431,0.24105085751149563,5.985017442551734,11.945874826852506,10.203132383172138
Rhythm Method Feat. Camille - Can You Give Me Love (Reto Dub Mix),USA,1994,0.014779014150906532,0.18931529192812868,6.183412886720048,11.96460762152986,9.77157994324018,0.00955083442835165,0.23841683087386872,14.03217439238629,17.79080639089182,9.55404687047231,0.011889699823327406,0.2322731452266193,8.275922844836114,13.171742915939786,10.236177526223887,0.00569731700037557,0.2336067935822965,7.3434084320262,12.648162147968211,10.267523154216786
Richard Rogers - All I Want (Club Mix),USA,1992,0.01751609255278596,0.24678966308414685,10.22469072300833,15.150965355805063,9.64669033245026,0.013573199680281008,0.15772128150814152,14.319695906708759,18.26982461937597,9.168513293560965,0.011286931431682306,0.33994444129006224,11.128355384643264,14.745518946085076,10.341458654619997,0.005432618933351478,0.1798160645611263,10.337663033906976,14.425897925673008,10.257778900964336
Richard Rogers - All I Want (Hitman's Dub),USA,1992,0.020133454996870612,0.04913893914699559,6.247821623531343,11.892487052758353,9.392190451999603,0.01737576105843168,0.12078197229068804,8.909249740239984,13.019771228484023,9.058556162006646,0.016320830337127022,0.017867514007165467,8.36623944316054,12.916528558216573,10.496911047198902,0.005276761103630628,0.028711418948700492,6.712820263376746,11.878978908471874,10.213614110367969
Richard Rogers - Spread A Little Love (Club Mix),USA,1990,0.02371573064008125,0.15464946667510712,15.624068137739949,18.603820846101584,10.193419216413483,0.01648030415034132,0.19059477858353782,20.053373791292938,22.604295498147525,9.882968574752406,0.012387904788534644,0.2557035928415353,16.532912774107853,19.19693059861127,10.261163395173186,0.012542845969257334,0.1831586926315142,15.757453835581613,18.162695089075548,9.947668105056906
